#OTU	NSTI
AB008314	0.01278
AB015889	0.011793999999999999
AB016610	0.00015
AB021304	0.051332
AB021409	0.001876
AB021702	0.033308
AB033944	0.035273
AB035457	0.019277000000000002
AB035458	0.022650999999999998
AB035459	0.020635
AB037875	0.039682999999999996
AB045731	0.00435
AB053947	0.008563
AB062278	0.095028
AB072735	0.014108
AB105164	0.020362
AB175072	0.008289
AB175652	0.057221
AB176241	0.020319
AB182486	0.006531
AB185959	0.028955
AB193725	0.007622
AB244334	0.243592
AB265180	0.21441
AB278593	0.026989999999999997
AB294731	0.012968
AB308089	0.0846
AB326353	0.005381
AB355602	0.020552
AB374486	0.002182
AB426562	0.009722
AB476703	0.060493
AB512009	0.007112
AB517146	0.010961
AB545935	0.026644
AB550231	0.003971
AE015929	0.025195
AF003928	0.013084
AF003929	0.012861000000000001
AF003930	0.007815
AF003933	0.012107999999999999
AF016390	0.023681
AF023031	0.037706
AF023037	0.043337
AF023042	0.053429
AF023044	0.089722
AF023055	0.026048
AF023056	0.057000999999999996
AF023063	0.039276
AF033303	0.027201
AF033304	0.294052
AF033305	0.03096
AF033310	0.017512
AF039903	0.004936
AF056340	0.10115199999999999
AF061347	0.022879
AF061348	0.037408
AF061350	0.017054
AF101240	0.006802
AF104671	0.006304
AF104675	0.010371
AF125199	0.20752199999999998
AF125200	0.20752199999999998
AF125201	0.20752199999999998
AF125202	0.196718
AF125203	0.196718
AF125205	0.9153899999999999
AF125207	5.548952
AF133536	0.005824
AF145242	0.051086
AF182831	0.022594
AF182833	0.172176
AF182835	0.054662999999999996
AF182836	0.078697
AF182838	0.096131
AF183402	0.024156999999999998
AF183404	0.023385
AF183406	0.026354000000000002
AF220064	0.016828
AF224299	0.012485
AF243154	0.036456
AF243156	0.016777
AF285869	0.047798
AF287747	0.011840999999999999
AF287749	0.017653
AF287750	0.028319
AF287756	0.008829
AF287757	0.12054000000000001
AF287762	0.17193599999999998
AF287764	0.015846000000000002
AF287766	0.016365
AF287767	0.010131999999999999
AF287769	0.22085900000000003
AF287770	0.025431
AF287771	0.019823
AF287772	0.080675
AF287774	0.054633
AF287775	0.131848
AF287778	0.12354100000000001
AF287779	0.247912
AF287781	0.007412
AF287782	0.007599
AF287783	0.013608000000000002
AF287784	0.047389
AF287785	0.112947
AF287786	0.100763
AF287787	0.010362999999999999
AF287788	0.015318
AF287789	0.188611
AF287790	0.188611
AF287791	0.098067
AF287793	0.007734
AF287794	0.02165
AF287795	0.005052
AF287796	0.007885
AF287797	0.02225
AF287798	0.008442
AF287799	0.010154999999999999
AF287800	0.013923
AF287801	0.008927
AF287802	0.004845
AF287804	0.014553
AF287805	0.015087
AF287807	0.055305999999999994
AF287809	0.016521
AF287810	0.025338999999999997
AF287811	0.037058999999999995
AF287813	0.005531
AF287814	0.036757
AF287816	0.012018000000000001
AF292371	0.015119999999999998
AF292372	0.01165
AF292373	0.009584
AF292374	0.008914
AF302940	0.079717
AF310615	0.017333
AF320620	0.006409000000000001
AF334601	0.09943099999999999
AF366266	0.011295
AF366267	0.041511
AF366270	0.028009
AF366271	0.030239999999999996
AF366273	0.034987
AF366274	0.032837
AF382273	0.006099
AF382302	0.010854
AF385492	0.02222
AF385495	0.008923
AF385501	0.027712
AF385502	0.222031
AF385503	0.023149
AF385506	0.9153899999999999
AF385508	0.100441
AF385510	0.028364
AF385513	0.206121
AF385518	0.011063
AF385520	0.9153899999999999
AF385524	0.002945
AF385525	0.014135
AF385528	0.01484
AF385536	0.294052
AF385540	0.021699
AF385541	0.18004
AF385545	0.014543
AF385553	0.027181999999999998
AF385554	0.062352
AF385556	0.157191
AF385557	0.027783
AF385558	0.052411
AF385559	0.005677000000000001
AF385562	0.025731
AF385563	0.247912
AF385564	0.020380000000000002
AF385565	0.025575999999999998
AF385566	0.010953000000000001
AF385568	0.9153899999999999
AF385572	0.050502
AF385573	0.28292
AF385577	0.26357600000000003
AF385578	0.188611
AF393476	0.078466
AF399914	0.027958999999999998
AF399956	0.025689
AF403733	0.001174
AF414833	0.020452
AF414838	0.023504
AF432132	0.019484
AF432133	0.022308
AF432138	0.197479
AF443790	0.011356
AF458222	0.020068
AF459432	0.009052
AF473834	0.037552999999999996
AF479270	0.010614
AF481204	0.5533140000000001
AF481212	0.325417
AF481213	0.253384
AF481215	0.196718
AF481217	0.018585
AF481218	0.140291
AF481219	0.061917999999999994
AF481221	0.06609
AF481222	0.03096
AF481223	0.021953
AF481224	0.224003
AF481226	0.071469
AF481227	0.019494
AF481228	0.011222
AF488779	0.005451
AF506987	0.052869000000000006
AF515490	1.315072
AF531770	0.002806
AF537589	0.0049759999999999995
AF537593	0.013623
AF538853	0.026641
AF538856	0.091236
AF542230	0.008941
AF543281	0.007991
AF543285	0.010506999999999999
AF543286	0.011492
AF543287	0.020022
AF543290	0.006625
AF543292	0.011909000000000001
AF543294	0.009033
AF543299	0.010226
AF543300	0.008692
AF550657	0.006353
AJ006962	0.033916
AJ006963	0.020533000000000003
AJ006965	0.012447
AJ010963	0.03519
AJ133496	0.006809999999999999
AJ227798	0.02695
AJ234037	0.017618
AJ234040	0.012012
AJ234041	0.0154
AJ234048	0.083469
AJ234051	0.049007
AJ234056	0.07561699999999999
AJ239281	0.012701
AJ239282	0.011094
AJ239301	0.012654
AJ239314	0.005072999999999999
AJ243965	0.008862
AJ251624	0.01316
AJ251630	0.00935
AJ271894	0.040056
AJ290755	0.00992
AJ303011	0.013416999999999998
AJ307005	0.009229000000000001
AJ313019	0.032958
AJ315953	0.00707
AJ415376	0.017275
AJ496032	0.030358999999999997
AJ507295	0.04635
AJ540309	0.018678
AJ583190	0.052834000000000006
AJ608938	0.013121
AJ617796	0.017305
AJ621549	0.045094999999999996
AJ635359	0.022665
AJ697609	0.009224
AJ810271	0.004582999999999999
AJ810277	0.008808
AM157419	0.039769
AM157420	0.050322000000000006
AM157432	0.027779
AM157436	0.017698
AM157438	0.020721
AM157441	0.038312
AM157450	0.01195
AM176521	0.007442
AM238669	0.041721
AM238672	0.02254
AM238680	0.006053
AM238689	0.006581999999999999
AM419958	0.009696999999999999
AM419976	0.0077989999999999995
AM419980	0.015202
AM419987	0.023905000000000003
AM419993	0.011354000000000001
AM420016	0.007994
AM420017	0.013593000000000001
AM420018	0.011725
AM420019	0.015315
AM420023	0.012278
AM420050	0.011857
AM420051	0.010139
AM420053	0.028012000000000002
AM420069	0.016771
AM420073	0.004852
AM420075	0.005722
AM420076	0.1479
AM420090	0.018080000000000002
AM420092	0.22085900000000003
AM420095	0.017255
AM420096	0.156717
AM420097	0.156005
AM420101	0.043564
AM420102	0.018724
AM420103	0.061819000000000006
AM420109	0.037549
AM420110	0.01999
AM420127	0.012692
AM420132	0.9153899999999999
AM420140	0.019606000000000002
AM420141	0.027085
AM420144	0.224003
AM420149	0.010775
AM420154	0.014891
AM420156	0.010889
AM420173	0.014443000000000001
AM420179	0.017263999999999998
AM420185	0.023578
AM420187	0.016152
AM420190	0.011807
AM420198	0.141596
AM420202	0.021418
AM420204	0.03507
AM420209	0.021511000000000002
AM420211	0.016994
AM420217	0.22268200000000002
AM420220	0.044933999999999995
AM420222	0.06043200000000001
AM420227	0.013878
AM420230	0.015872999999999998
AM420234	0.045997
AM420262	0.10778
AM420271	0.097426
AM420279	0.011654000000000001
AM420282	0.012916999999999998
AM887529	0.006173
AM910533	0.044923000000000005
AM989128	0.101503
AY005023	0.002088
AY005027	0.021889
AY005030	0.011087
AY005033	0.015050999999999998
AY005034	0.030448000000000003
AY005035	0.01036
AY005037	0.012490000000000001
AY005038	0.02483
AY005039	0.020856
AY005040	0.011568
AY005041	0.017843
AY005045	0.010948999999999999
AY005048	0.002432
AY005050	0.019527000000000003
AY005056	0.019561000000000002
AY005057	0.010515
AY005061	0.037462999999999996
AY005066	0.022711000000000002
AY005068	0.014472
AY005070	0.368616
AY005071	0.441791
AY005072	0.016385
AY005073	0.013108000000000002
AY005074	0.016773
AY005079	0.01545
AY005080	0.018275
AY005081	0.020669999999999997
AY005082	0.025923
AY005083	0.018544
AY005444	0.07506399999999999
AY005446	0.9153899999999999
AY005447	0.20752199999999998
AY008308	0.017331
AY008309	0.006116
AY008310	0.026848
AY008313	0.029899000000000002
AY008314	0.036289999999999996
AY029803	0.008945999999999999
AY029806	0.00992
AY049713	0.007651000000000001
AY114311	0.41580100000000003
AY114315	0.198221
AY134894	0.009451000000000001
AY134895	0.9153899999999999
AY134896	0.044216000000000005
AY134899	0.19986600000000002
AY134900	0.024565
AY134901	0.07348500000000001
AY134902	0.012795
AY134903	0.08993999999999999
AY134904	0.204942
AY134906	0.258675
AY134908	0.008354
AY144355	0.9153899999999999
AY162222	0.007353
AY162469	0.013982
AY188349	0.020942
AY188350	0.021081
AY188353	0.014178999999999999
AY193169	1.7793720000000002
AY207051	0.018677000000000003
AY207052	0.18376800000000001
AY207053	0.060226999999999996
AY207059	0.014178
AY207060	0.02414
AY207063	0.024818
AY253660	0.046316
AY253728	0.022169
AY258065	0.041262
AY277941	0.015267
AY278609	0.007624
AY278611	0.03195
AY278613	0.013497
AY278618	0.019261
AY278622	0.018579
AY278623	0.061730999999999994
AY278624	0.038523
AY278625	0.22244699999999998
AY278626	0.011446
AY278627	0.010265999999999999
AY278628	0.188611
AY281077	0.014875999999999999
AY281080	0.027520999999999997
AY281082	0.015238
AY281083	0.016207
AY281085	0.019886
AY281088	0.014987
AY299487	0.013074
AY323523	0.004370000000000001
AY323524	0.014828999999999998
AY328778	0.012190000000000001
AY331414	0.020782
AY331416	0.9153899999999999
AY341820	0.030898000000000002
AY341821	0.188526
AY341822	0.031244
AY349364	0.042881999999999997
AY349365	0.018052000000000002
AY349369	0.26357600000000003
AY349371	0.20752199999999998
AY349372	0.20752199999999998
AY349373	0.051736000000000004
AY349374	0.19228499999999998
AY349376	0.018807
AY349378	0.186941
AY349379	0.050491
AY349380	0.025236
AY349381	0.043715
AY349385	0.032182999999999996
AY349387	0.05771799999999999
AY349388	0.031991000000000006
AY349389	0.310531
AY349394	0.222402
AY349396	0.036737
AY349401	0.09175900000000001
AY349403	0.021918
AY349404	0.021957
AY349405	0.02245
AY349407	0.023633
AY349409	0.046495
AY349411	0.045648
AY349414	0.032293999999999996
AY349415	0.9153899999999999
AY349416	0.038701
AY365450	0.004143
AY369246	0.017821
AY369247	0.040902
AY369254	0.018234999999999998
AY485599	0.013268
AY485602	0.012452
AY485603	0.014288999999999998
AY485604	0.010808
AY486386	0.009141
AY525790	0.010833
AY525793	0.016994
AY525794	0.032718000000000004
AY533381	0.015742
AY533382	0.027951999999999998
AY538693	0.022494
AY546500	0.0065829999999999994
AY550997	0.22244699999999998
AY560519	0.006435
AY569298	0.05911
AY584476	0.009693
AY594189	0.004988
AY613590	0.010101
AY675253	0.009783
AY689226	0.009859999999999999
AY689228	0.01551
AY689230	0.014571
AY691533	0.020135
AY730708	0.001913
AY741361	0.030047000000000004
AY769997	0.015322
AY773957	0.023122
AY781385	0.00903
AY807884	0.03152
AY807905	0.072167
AY836507	0.018971000000000002
AY836508	0.019772
AY840553	0.025095
AY850116	0.021866999999999998
AY850359	0.008421
AY860249	0.011137000000000001
AY879305	0.021085
AY879306	0.032258999999999996
AY879307	0.03121
AY879308	0.028553
AY923123	0.017968
AY944134	0.20058800000000002
AY944229	0.00928
AY947499	0.009937999999999999
AY948040	0.47117200000000004
AY958805	0.005352
AY959072	0.027277
AY986762	0.007148999999999999
AY986764	0.012846000000000002
AY995757	0.007176
AY995767	0.023906
AY995768	0.021277
AY995769	0.013896
AY995770	0.018195
CP000117	0.001662
CP000725	0.005174
CP001015	0.015568
CP001071	0.01145
CP001100	0.0062759999999999995
CP001146	0.030151999999999998
CP001472	0.010605
CP001682	0.005092
D38483	0.012838999999999998
D50540	0.00937
D50541	0.012667
D84525	0.0048189999999999995
D85716	0.03298
D86183	0.006412
D89331	0.00118
D89332	0.006141
DQ003613	0.5533140000000001
DQ003614	0.331417
DQ003615	0.5533140000000001
DQ003618	0.100775
DQ003624	0.105851
DQ003626	0.5533140000000001
DQ003628	0.162495
DQ003632	0.037016
DQ003634	0.5533140000000001
DQ003635	0.026635000000000002
DQ004817	0.5871930000000001
DQ009623	0.007232
DQ016677	0.28292
DQ016725	0.006157
DQ016919	0.030522000000000004
DQ087188	0.006808
DQ087189	0.013621000000000001
DQ087191	0.013061000000000001
DQ087192	0.067913
DQ087194	0.069038
DQ088807	0.010692
DQ117530	0.017409
DQ117531	0.019226
DQ129628	0.020953
DQ130028	0.2099
DQ130041	0.136818
DQ160208	0.013656999999999999
DQ174165	0.020513
DQ174170	0.018022
DQ201336	0.007035
DQ208931	0.005328
DQ232518	0.005936
DQ232536	0.008553
DQ232537	0.015496000000000001
DQ232538	0.009935
DQ248260	0.9153899999999999
DQ317590	0.008079000000000001
DQ344915	0.022468000000000002
DQ344918	0.021111
DQ354731	0.053083000000000005
DQ404359	0.043004
DQ409140	0.007287999999999999
DQ411814	0.009761
DQ486147	0.005573
DQ632967	0.9153899999999999
DQ633486	0.02522
DQ634771	0.277543
DQ637897	0.126155
DQ638272	0.020307
DQ639513	2.167051
DQ664248	0.00542
DQ673319	0.012169
DQ677737	0.0075959999999999995
DQ677764	0.006778
DQ677766	0.0071849999999999995
DQ677792	0.016686000000000003
DQ816800	0.021647
DQ824516	0.13786199999999998
DQ847442	1.5771600000000001
DQ905872	0.063048
DQ986463	0.026931999999999998
DQ989213	0.027612
EF015468	0.015949
EF371928	0.032964999999999994
EF421434	0.0027329999999999998
EF463060	0.013101
EF509196	0.004135
EF510865	1.1670040000000002
EF511066	0.0032340000000000003
EF533990	0.0071909999999999995
EF534315	0.012444
EF558367	0.022932
EF620925	0.001573
EF697881	0.024848
EU071478	0.010243
EU126662	0.012988999999999999
EU160006	0.035954
EU169846	0.016633000000000002
EU181055	0.140006
EU337121	0.006279
EU435418	0.051723000000000005
EU469745	0.051797
EU526292	0.242258
EU535553	0.015541999999999999
EU535570	0.015068999999999999
EU539957	0.014633000000000002
EU540592	0.010056
EU549858	0.021484
EU559602	0.000531
EU567045	0.011292
